Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-12-24,Glass Onion,2022,https://boxd.it/3zsCjF,3.5,,,2022-12-23
2023-01-02,Parasyte -the maxim-,2014,https://boxd.it/3CGNAn,,,,2022-12-27
2022-12-31,John - The Last Cowboy,2021,https://boxd.it/3C3EtJ,4,,,2022-12-30
2023-01-04,Planet Terror,2007,https://boxd.it/3DCxrF,2,,,2023-01-03
2023-01-09,Morbius,2022,https://boxd.it/3FGdAX,2,,,2023-01-08
2023-01-12,Fallen Angels,1995,https://boxd.it/3GJmkf,5,,,2023-01-11
2023-01-12,Bill Cunningham New York,2010,https://boxd.it/3GN1sl,,,,2023-01-11
2023-01-16,Everybody Hates Johan,2022,https://boxd.it/3I7D1B,3.5,,,2023-01-15
2023-01-17,The Witch,2015,https://boxd.it/3IvlZV,4,Yes,,2023-01-16
2023-01-18,Face/Off,1997,https://boxd.it/3IQ7Wv,4,,,2023-01-17
2023-01-19,The Menu,2022,https://boxd.it/3J7dJh,3.5,,,2023-01-18
2023-01-21,Monster,2003,https://boxd.it/3JGKWN,3.5,Yes,,2023-01-20
2023-01-22,Babylon,2022,https://boxd.it/3K375h,3.5,,klingenbergoslo,2023-01-21
2023-01-23,Bones and All,2022,https://boxd.it/3Kn387,3,,,2023-01-22
2023-01-24,Decision to Leave,2022,https://boxd.it/3KL2HX,4.5,,"vegaoslo, førpremiere",2023-01-23
2023-01-25,Thirst,2009,https://boxd.it/3L57Mt,3,,,2023-01-24
2023-01-26,Night Ride,2020,https://boxd.it/3LgeoP,2,,,2023-01-25
2023-01-26,Forgotten,2017,https://boxd.it/3LjdgV,2,,,2023-01-25
2023-01-27,Superdupermegagigasingel,2022,https://boxd.it/3LzQCt,4,,,2023-01-26
2023-01-31,The Call,2020,https://boxd.it/3MZ0lV,3,,,2023-01-30
2023-02-02,Munch,2023,https://boxd.it/3NwQ49,4,,vegaoslo,2023-02-01
2023-02-03,Paprika,2006,https://boxd.it/3NMPiV,4,,,2023-02-02
2023-02-06,Miracle in Milan,1951,https://boxd.it/3OEUZD,4,,,2023-02-05
2023-02-06,Suspiria,2018,https://boxd.it/3ONMzF,2,,,2023-02-05
2023-02-07,A Human Position,2022,https://boxd.it/3P55UV,4,,,2023-02-06
2023-02-09,"The Good, the Bad, the Weird",2008,https://boxd.it/3PCL49,2.5,,,2023-02-08
2023-02-13,Black Panther: Wakanda Forever,2022,https://boxd.it/3QHtxB,2,,,2023-02-12
2023-02-20,Battle Royale,2000,https://boxd.it/3SF6rz,5,Yes,,2023-02-19
2023-03-03,The Batman,2022,https://boxd.it/3VHqrZ,5,Yes,,2023-03-02
2023-03-06,Let Me In,2010,https://boxd.it/3WznQ1,4,,,2023-03-05
2023-03-08,Dogtooth,2009,https://boxd.it/3X9qTJ,5,,,2023-03-07
2023-03-09,Jurassic Park,1993,https://boxd.it/3XmO2b,5,Yes,,2023-03-08
2023-03-12,The Hunger,2017,https://boxd.it/3Y5Oxj,3.5,,,2023-03-11
2023-03-13,Luther: The Fallen Sun,2023,https://boxd.it/3YwOI1,2,,,2023-03-12
2023-03-14,Terkel in Trouble,2004,https://boxd.it/3YOIQp,,Yes,,2023-03-13
2023-03-16,The Banshees of Inisherin,2022,https://boxd.it/3Zk0xH,4,,,2023-03-15
2023-03-20,The Staggering Girl,2019,https://boxd.it/40mW4h,2.5,,,2023-03-19
2023-03-21,Kill Bill: Vol. 1,2003,https://boxd.it/40HmqD,5,Yes,,2023-03-20
2023-03-22,Bram Stoker's Dracula,1992,https://boxd.it/40W4ct,4,,,2023-03-21
2023-03-23,The Godfather,1972,https://boxd.it/41c4oB,5,,bluray,2023-03-22
2023-03-24,Violated Angels,1967,https://boxd.it/41plbZ,,,,2023-03-23
2023-03-25,Vertigo,1958,https://boxd.it/41DQS9,3.5,,,2023-03-24
2023-03-26,"Go, Go Second Time Virgin",1969,https://boxd.it/41WmDh,4,,,2023-03-25
2023-03-26,Shin Godzilla,2016,https://boxd.it/41XyM3,3.5,,,2023-03-25
2023-03-29,Joint Security Area,2000,https://boxd.it/42MEzh,4.5,,,2023-03-28
2023-03-30,The Age of Shadows,2016,https://boxd.it/431GOX,3.5,,,2023-03-29
2023-04-01,Up,2009,https://boxd.it/43GIAb,5,Yes,,2023-04-01
