Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-09-07,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/4OkwiD,2.5,,"Savner litt Spielberg uten at jeg klarer å sette fingeren på nøyaktig hva det er, men det er veldig kult å si. 🎩",,2023-09-06
2023-09-14,The Godfather Part II,1974,https://boxd.it/4QkGA1,5,,Prøvd holde tellingen på alle 🤌🏼-gestene,bluray,2023-09-13
2023-09-26,Himiko,1974,https://boxd.it/4TJsOP,4,,Dykket inn i Masahiro Shinoda's verker med denne. Må innrømme at jeg visste en god del om den fra før. Det lot meg slappe mer av med den og fikk fremhevet det visuelle enda mer.,,2023-09-25
2023-10-12,Batman Begins,2005,https://boxd.it/4YUenR,3.5,Yes,"Ah, Batman Begins! Snublet over trilogien på Blu-ray sist jeg var hjemme og rotet gjennom gutterommet. Som kid var jeg mest opptatt av Batmans kule dingser og hvor kul Chris var. Filmen ble jo hyllet som et friskt pust i superheltlandskapet, noe jeg synes er litt rart – Sam Raimi Spider-Man er jo enda mørkere. Og Marvel som vi kjenner de var jo ikke en gang på banen enda. Å se filmen igjen nå, spesielt med tanke på alt Nolan har skapt siden, var gøy. Men den treffer ikke helt blink lenger.",bluray,2023-10-11
2023-10-13,The Dark Knight,2008,https://boxd.it/4ZaNN3,3.5,Yes,Heath Ledger bærer alt her selvfølgelig.,bluray,2023-10-12
2023-10-15,The Dark Knight Rises,2012,https://boxd.it/4ZND2z,3,Yes,"Dette er Nolan på sitt visuelle beste i trilogien. Glimter til i blant, men skjønnhet er ikke alt. Synes det er sabla rotete greier. Hang meg mest opp i Banes fengsel. Har sett Behind Bars på Netflix, og det hullet der kvalifiserer så vidt til en episode.",bluray,2023-10-14
2023-10-19,The Abyss,1989,https://boxd.it/51b2qr,4,,Møtte på Birger Vestmo i dokøen. Norges mest konsekvente firer-giver. Så da er det ingen tvil om det. ,"cinemateketoslo, 70mm",2023-10-18
2023-10-26,Killers of the Flower Moon,2023,https://boxd.it/53pupR,4.5,,Likte wes greiene med sjefen sjøl,vegaoslo,2023-10-25
2023-11-03,The Village,2004,https://boxd.it/56fg7r,4.5,,"Roger deakins lager gode frames, spesielt merkbart i den mesterlig utførte knivstikk-scenen",,2023-11-02
2023-11-06,Apocalypse Now,1979,https://boxd.it/57eOOV,5,,Vittorio Storaros lysarbeid her er mesterlig 🤌🏼🤌🏼,,2023-11-05
2023-11-06,The Tragedy of Macbeth,2021,https://boxd.it/57k2rr,2,,Filmen føles som en konstant distraksjon fra teksten. Dialogen tvinger fram et så tungt sceneformat som begrenser mange av de valgene som kan gjøres i film. ,,2023-11-05
2023-11-12,The Boy and the Heron,2023,https://boxd.it/5965MR,4.5,,Åpnet filmfrasør og gøy på Colosseum. Noen som kan male stua mi som et av de skybildene? Topp 10 vakreste jeg har sett.,"colosseum, filmfrasør, ellinor",2023-11-11
2023-11-12,The Killer,2023,https://boxd.it/59aYvJ,2.5,,Hvorfor klikker jeg ikke med fincher a?,,2023-11-12
2023-11-17,The Creator,2023,https://boxd.it/5aIsDD,2.5,,Kul skanning tek! Skulle ønske face-id skanna sånn med blå laser stråle. Piipopopipi🤖🤖,,2023-11-16
2023-11-26,Doctor Who: The Star Beast,2023,https://boxd.it/5dDe7l,0.5,,Ring Danby Choi,,2023-11-25
2023-11-28,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/5ezWkJ,5,Yes,Ringenes Herre-trilogien fortjener en plass blant de syv underverkene i verden,bluray,2023-11-27
2023-11-29,Interstellar,2014,https://boxd.it/5eS3nh,4.5,Yes,"""The dust"" https://www.youtube.com/watch?v=4efHq3dVGiM","70mm, cinemateketoslo",2023-11-28
2023-12-12,Persona,1966,https://boxd.it/5jbTZB,5,,🤯,,2023-12-11
2023-12-22,Silenced,2011,https://boxd.it/5mRg1X,3,,🖕🏼verden,,2023-12-21
2024-01-01,How to Have Sex,2023,https://boxd.it/5s3sUz,4,,🎇 Bra filmår,,2023-12-31
2024-01-08,Dream Scenario,2023,https://boxd.it/5x0YuR,3,,Black mirror episode i a24 stil,"cinemateketoslo, trollieske, førpremiere",2024-01-07
2024-01-10,Burning,2018,https://boxd.it/5y7jzp,5,,"Hey, jeg har funnet en perfekt film. Kanskje den beste jeg noensinne har sett. Med 'Burning' på topp (må ikke forveksles med bØrning) og 'Troll' på bånn, kunne jeg pensjonert meg, men så igjen, plutselig er 'Troll 2' ute, jeg har ennå ikke sett 'Poor Things', hva finner Bong Joon Ho på, Eggers sin 'Nosferatu' er hype, og alle de 800 andre titlene i watchlista. Ekke om å gjøre heller. Vi fortsetter. ",,2024-01-09
2024-01-16,Fallen Angels,1995,https://boxd.it/5Bt3Hj,4.5,Yes,"Som første film ut fra <a href=""https://boxd.it/s9XNM"" rel=""nofollow"">listen over filmer jeg skal se på nytt i 2024</a> har vi dette mesterverket. Sist var jeg fanget av Kar Wai bruk av filmmediet til det fulleste, og bare hvor kul den er. Det er ikke noe narrativ her. Det er bare mennesker som skal finne mening i livet. Det er sjalusi, ensomhet, håp, desperasjon og kjærlighet. Det er uoppnåelige drømmer og en lengsel i en verden som er fragmentert og uforståelig.",,2024-01-15
2024-01-17,Poor Things,2023,https://boxd.it/5BY1BF,5,,"Ikke sant, det var jo helt vilt! ❤️
Snytt for en 35mm visning på Vega der. De må lære styre machin før inviterer as.",vegaoslo,2024-01-16
2024-01-19,Decision to Leave,2022,https://boxd.it/5CWjY3,4,Yes,"Symbolikken av fjell og sjø er vakker, men det er komplekse greier og treffer ikke helt for meg. Selv om Hae-jun i starten hevder å elske sjøen, viser alt annet at hans sanne tilknytning ligger hos fjellet. Det er mesterlig gjort hvordan hans reise fra fjell til tåke og til slutt til sjøen speiler hans gradvise påvirkning av og følelser for Seo-rae. En interessant observarsjon fra andre visning, er at han løser alle sakene høyt oppe – enten på toppen av en bygning eller et fjell – mens hans siste sak ved sjøen forblir uløst. Som forøvrig fikk meg til å tenke på Dostojevsklis ""besatte"". Der er det en mann som tar livet av seg, bare for å bevise hvor fri han er. Kan tolkes alle retninger den her. I bunn er det sikkert bare et forhold som ikke holdt, og Seo-rea tar en decision to leave (Title drop) for godt. Sletta'n fra sosiale medier. Må til slutt nevne soundtracken på den her som er 💋🤌🏼💋🤌🏼",,2024-01-18
2024-02-05,The Remarkable Life of Ibelin,2024,https://boxd.it/5Lo08v,,,"Vakker, viktig og mesterlig fortalt. Ville vært dumt å kutte støtten til norske dokumentarfilmer på denne bølgen. eller. Troll2 blir sikkert helt klinbananasrå den asså.","cinemateketoslo, trollieske, førpremiere",2024-02-04
2024-02-24,Into the Wild,2007,https://boxd.it/5TQKGL,,,"Etter jeg så denne forrige gang slutta jeg på skolen og dro på backpacking i Nepal. 🧘🏼‍♂️ Dette var qoutenes storhetstid. 2014! Var svak for qoutes as. Asså hør på det her:

<i>«So many people live within unhappy circumstances and yet will not take the initiative to change their situation because they are conditioned to a life of security, conformity, and conservation, all of which may appear to give one peace of mind, but in reality nothing is more damaging to the adventurous spirit within a man than a secure future. The very basic core of a man's living spirit is his passion for adventure. The joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun.»</i>

Christopher McCandless",,2024-02-23
2024-03-01,Dune: Part Two,2024,https://boxd.it/5WCEkX,4.5,,Meg på stranda til sommern,"klingenbergoslo, 70mm",2024-02-29
2024-03-03,Dune,2021,https://boxd.it/5Xwawr,5,Yes,"Likte’n enda bedre etter sett part 2. En bænger for enhver med sans for lydens kunst. Den dunkinga i sanden er 🤌🏼🤌🏼, zimmer er zim sala bim og den sirenestemme ville jeg hoppet i gapet på en sånn snål mark etter. Skal bruke resten av helgen på å lære meg synge sånn.",,2024-03-02
