Date,Name,Year,Letterboxd URI
2023-10-25,The Graduate,1967,https://boxd.it/18Im
2023-10-27,Victoria,2015,https://boxd.it/amSe
2023-10-30,Bram Stoker's Dracula,1992,https://boxd.it/223a
2023-11-06,Apocalypse Now,1979,https://boxd.it/6ZS
2023-11-13,The Boy and the Heron,2023,https://boxd.it/ipeM
2023-11-14,Cure,1997,https://boxd.it/1blA
2023-11-19,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI
2023-11-30,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy
2023-12-12,Persona,1966,https://boxd.it/29B4
2024-01-10,Burning,2018,https://boxd.it/hHUa
2024-01-15,"A Girl, She Is 100%",1983,https://boxd.it/7DL4
2024-02-05,The Remarkable Life of Ibelin,2024,https://boxd.it/Iftk
2024-02-09,The Match Factory Girl,1990,https://boxd.it/20Je
2024-02-12,Past Lives,2023,https://boxd.it/oNB8
2024-02-24,Into the Wild,2007,https://boxd.it/22m2
2024-03-01,Dune: Part Two,2024,https://boxd.it/pUfA
2024-04-10,Ripley,2024,https://boxd.it/LT5S
2024-04-17,Perfect Days,2023,https://boxd.it/ATh8
2024-04-19,The Talented Mr. Ripley,1999,https://boxd.it/2924
2024-04-25,Baby Reindeer,2024,https://boxd.it/MwSa
2024-08-05,Le Samouraï,1967,https://boxd.it/22ZI
2024-08-23,Junk Mail,1997,https://boxd.it/1dEk
2024-09-23,The Iron Giant,1999,https://boxd.it/1Wow
2024-12-08,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2024-12-30,A Grand Day Out,1989,https://boxd.it/2acu
2025-01-14,Napoleon Dynamite,2004,https://boxd.it/20wu
